route_id,daily_trips_pre,daily_trips_covid,pct_chng
10-13131,155,94,-0.3935483870967742
102-13131,51,53,0.0392156862745098
105-13131,122,104,-0.14754098360655737
106-13131,36,NA,NA
108-13131,175,80,-0.5428571428571428
110-13131,107,55,-0.48598130841121495
111-13131,159,128,-0.1949685534591195
115-13131,155,82,-0.47096774193548385
117-13131,118,71,-0.3983050847457627
120-13131,61,38,-0.3770491803278688
125-13131,74,39,-0.47297297297297297
126-13131,13,13,0
127-13131,30,28,-0.06666666666666667
128-13131,36,32,-0.1111111111111111
130-13131,53,30,-0.4339622641509434
14-13131,203,103,-0.49261083743842365
150-13131,162,133,-0.17901234567901234
152-13131,137,60,-0.5620437956204379
154-13131,26,26,0
155-13131,41,27,-0.34146341463414637
158-13131,40,28,-0.3
16-13131,322,NA,NA
161-13131,40,26,-0.35
163-13131,131,57,-0.5648854961832062
164-13131,99,54,-0.45454545454545453
165-13131,121,49,-0.5950413223140496
166-13131,116,42,-0.6379310344827587
167-13131,46,41,-0.10869565217391304
169-13131,41,32,-0.21951219512195122
175-13131,42,22,-0.47619047619047616
176-13131,42,34,-0.19047619047619047
177-13131,32,NA,NA
18-13131,221,141,-0.36199095022624433
180-13131,119,148,0.24369747899159663
183-13131,35,25,-0.2857142857142857
2-13131,202,112,-0.44554455445544555
20-13131,196,124,-0.3673469387755102
200-13131,184,139,-0.24456521739130435
201-13131,32,26,-0.1875
202-13131,15,15,0
204-13131,182,133,-0.2692307692307692
205-13131,62,38,-0.3870967741935484
206-13131,124,85,-0.31451612903225806
207-13131,152,145,-0.046052631578947366
209-13131,34,30,-0.11764705882352941
210-13131,112,106,-0.05357142857142857
211-13131,30,20,-0.3333333333333333
212-13131,157,88,-0.4394904458598726
217-13131,160,119,-0.25625
218-13131,55,32,-0.41818181818181815
222-13131,49,39,-0.20408163265306123
224-13131,134,67,-0.5
230-13131,71,50,-0.29577464788732394
232-13131,88,61,-0.3068181818181818
233-13131,151,111,-0.26490066225165565
234-13131,95,72,-0.24210526315789474
236-13131,43,25,-0.4186046511627907
237-13131,58,84,0.4482758620689655
239-13131,35,34,-0.02857142857142857
243-13131,39,28,-0.28205128205128205
245-13131,73,60,-0.1780821917808219
246-13131,71,54,-0.23943661971830985
251-13131,102,112,0.09803921568627451
252-13131,62,44,-0.2903225806451613
254-13131,32,32,0
256-13131,42,28,-0.3333333333333333
258-13131,46,36,-0.21739130434782608
260-13131,103,78,-0.24271844660194175
265-13131,37,26,-0.2972972972972973
266-13131,65,41,-0.36923076923076925
267-13131,86,55,-0.36046511627906974
268-13131,60,32,-0.4666666666666667
28-13131,122,119,-0.02459016393442623
30-13131,233,159,-0.31759656652360513
33-13131,152,108,-0.2894736842105263
344-13131,50,33,-0.34
35-13131,170,99,-0.4176470588235294
4-13131,187,153,-0.18181818181818182
40-13131,144,116,-0.19444444444444445
442-13131,7,NA,NA
45-13131,166,129,-0.22289156626506024
456-13131,8,NA,NA
460-13131,93,69,-0.25806451612903225
487-13131,72,42,-0.4166666666666667
501-13131,101,42,-0.5841584158415841
51-13131,248,166,-0.33064516129032256
53-13131,149,86,-0.4228187919463087
534-13131,63,32,-0.49206349206349204
55-13131,129,84,-0.3488372093023256
550-13131,51,34,-0.3333333333333333
577-13131,46,36,-0.21739130434782608
60-13131,187,142,-0.24064171122994651
601-13131,228,212,-0.07017543859649122
602-13131,81,46,-0.43209876543209874
603-13131,120,99,-0.175
605-13131,91,48,-0.4725274725274725
607-13131,10,10,0
611-13131,40,36,-0.1
612-13131,36,36,0
62-13131,76,43,-0.4342105263157895
625-13131,48,25,-0.4791666666666667
66-13131,137,88,-0.35766423357664234
665-13131,43,24,-0.4418604651162791
68-13131,115,101,-0.12173913043478261
685-13131,55,32,-0.41818181818181815
687-13131,99,63,-0.36363636363636365
70-13131,134,122,-0.08955223880597014
704-13131,138,82,-0.4057971014492754
705-13131,96,96,0
71-13131,60,31,-0.48333333333333334
710-13131,106,106,0
720-13131,285,190,-0.3333333333333333
728-13131,114,114,0
733-13131,117,102,-0.1282051282051282
734-13131,93,93,0
740-13131,76,76,0
744-13131,96,116,0.20833333333333334
745-13131,151,56,-0.6291390728476821
750-13131,80,78,-0.025
751-13131,86,86,0
754-13131,183,87,-0.5245901639344263
757-13131,130,130,0
76-13131,119,88,-0.2605042016806723
760-13131,96,96,0
762-13131,61,61,0
770-13131,100,100,0
78-13131,231,118,-0.48917748917748916
780-13131,85,85,0
788-13131,49,49,0
794-13131,64,64,0
81-13131,150,83,-0.44666666666666666
83-13131,78,66,-0.15384615384615385
90-13131,107,99,-0.07476635514018691
901-13131,328,212,-0.35365853658536583
910-13131,286,145,-0.493006993006993
92-13131,92,65,-0.29347826086956524
94-13131,87,88,0.011494252873563218
96-13131,57,27,-0.5263157894736842
16-13136,NA,234,NA
